new_street,street
R TIBURCIO DE SOUSA,R. Tibúrcio de Sousa
AV TIRADENTES,Av. Tiradentes - Pista Lateral
AV TIRADENTES,Av. Tiradentes
AV TIRADENTES,Av. Tiradentes - Pista Central
R S TITO,R. Tito
AV DOS BANDEIRANTES,Av. dos Bandeirantes - Pista Central
AV DOS BANDEIRANTES,Av. dos Bandeirantes
AV DOS BANDEIRANTES,Av. dos Bandeirantes - Pista Esq.
AV DOS BANDEIRANTES,Av. dos Bandeirantes - Pista Lateral
AV DOS BANDEIRANTES,Av. dos Bandeirantes - Pista Dir.
R TRAJANO,R. Trajano
R BR DE POMBALINHO,R. Barão de Pombalinho
R VISC DE NANIQUE,R. Visconde de Nanique
R TREZE DE MAIO,R. 13 de Maio
R DOS TRILHOS,R. dos Trilhos
R CEL TRISTAO,R. Cel. Tristão
AV TUCURUVI,Av. Tucuruvi
R MIGUEL CASAGRANDE,R. Miguel Casagrande
AV HELIO PELLEGRINO,Av. Hélio Pellegrino
VD GAL MARCONDES SALGADO,Vd. Gen. Marcondes Salgado
R URIEL GASPAR,R. Uriel Gaspar
AV VALENTIM GENTIL,Av. Valentim Gentil
AV S VALERIO,Av. São Valério
R VERGUEIRO,R. Vergueiro
AV VILA EMA,Av. Vila Ema
R ABILIO PEDRO RAMOS,R. Abílio Pedro Ramos
PTE DA VILA GUILHERME,Ponte da Vila Guilherme
AV VINTE E TRES DE MAIO,Av. 23 de Maio
AV VITAL BRASIL,Av. Vital Brasil
AV VITOR MANZINI,Av. Vitor Manzini
R VOLUNTARIOS DA PATRIA,R. Voluntários da Pátria
AV VALDEMAR FERREIRA,Av. Valdemar Ferreira
AV WASHINGTON LUIS,Av. Washington Luís
AV PRES WILSON,Av. Pres. Wilson
AV YERVANT KISSAJIKIAN,Av. Yervant Kissajikian
R DR ZUQUIM,R. Dr. Zuquim
ES TURISTICA DO JARAGUA,Est. Turística do Jaraguá
R LAGUNA,R. Laguna
R MALVINA FERRARA SAMARONE,R. Malvina Ferraz Samarone
R CEL GUILHERME ROCHA,R. Cel. Guilherme Rocha
R MAL LEITAO DE CARVALHO,R. Mal. Leitão de Carvalho
R AIAMA,R. Aiamá
VD DR PLINIO DE QUEIROZ,Vd. Dr. Plínio de Queiroz
AV DR ANTONIO MARIA LAET,Av. Dr. Antônio Maria Laet
R MIN FRANCISCO CAMPOS,R. Min. Francisco Campos
